5
0 4
0 1
0 2
0 3
1 4
1 2
2 4
2 3
3 45
0 4
0 1
0 3
1 4
1 3
1 2
2 4
2 3
3 46
0 3
0 4
0 5
1 3
1 5
2 3
2 4
2 56
0 4
0 5
1 3
1 4
1 5
2 3
2 4
2 55
0 4
0 1
0 3
1 4
1 3
1 2
2 4
2 3
3 4
5
0 4
0 1
0 2
0 3
1 4
1 2
2 4
3 4
7
0 2
1 2
0 3
1 3
0 4
1 4
1 0
0 5
1 5
0 6
1 6
4 3
5 6
4 5
7
0 2
1 2
0 3
1 3
0 4
1 4
1 0
0 5
1 5
1 6
3 2
5 6
4 5
7
0 2
1 2
0 3
1 3
0 4
1 4
1 0
0 5
1 5
0 6
1 6
3 2
7
0 2
1 2
0 3
1 3
0 4
1 4
1 0
0 5
1 5
0 6
1 6
4 3
7
0 2
1 2
0 3
1 3
0 4
1 4
1 0
0 5
1 5
0 6
1 6
3 2
2 4
7
0 2
1 2
0 3
1 3
0 4
1 4
1 0
0 5
1 5
0 6
1 6
4 3
5
0 1
0 3
0 4
1 2
1 4
2 3
2 4
3 411
0 4
0 1
0 3
1 4
1 2
2 4
2 3
3 4
1 5
2 5
3 5
3 6
1 6
0 7
1 7
6 8
1 8
3 8
1 9
6 9
8 10
3 105
0 1
0 3
0 4
1 2
2 3
2 4
3 48
0 1
0 3
0 4
1 2
1 4
2 3
2 4
3 4
3 5
3 6
5 6
5 7
6 78
0 1 
0 4
0 3
0 6
1 2
1 4
2 3
2 4
3 6
3 5
3 4
5 7
5 6
6 76
0 3
0 5
0 1
0 2
1 2
2 3
3 4
4 55
0 4
0 1
0 3
1 4
1 2
2 4
2 3
3 45
0 2
1 2
0 3
1 3
0 4
1 46
0 2
1 2
0 3
1 3
0 4
1 4
0 5
1 56
0 3
0 4
0 5
1 3
1 4
1 5
2 3
2 4
2 55
0 1
0 2
0 3
0 4
1 2
1 3
1 4
2 3
2 4
3 4
